,block_number,date_yyyymmdd,hash,out_leg_frm,out_leg_to,out_leg_value,out_leg_asset,out_leg_asset_amt
30,18098733,20230910,0xdcad9c888eed41e5a4960a0baa9e6cd49d3be70f72715bacd480308b01e8813b,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0,stETH,0.13685819811345443
31,18098790,20230910,0xb1c6d9bd1f077b1808907b84b030fc404a4333268a8a64bea7ad6c554ed2d2e8,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,1,stETH,1.0409689993755573
32,18098790,20230910,0xb1c6d9bd1f077b1808907b84b030fc404a4333268a8a64bea7ad6c554ed2d2e8,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0,stETH,0.09163589602182771
33,18098790,20230910,0xb1c6d9bd1f077b1808907b84b030fc404a4333268a8a64bea7ad6c554ed2d2e8,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,1,stETH,0.9488787757926741
34,18098790,20230910,0xb1c6d9bd1f077b1808907b84b030fc404a4333268a8a64bea7ad6c554ed2d2e8,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0,stETH,0.009936921002118421
35,18098790,20230910,0xb1c6d9bd1f077b1808907b84b030fc404a4333268a8a64bea7ad6c554ed2d2e8,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0,stETH,0.008402488143342164
36,18098790,20230910,0xb1c6d9bd1f077b1808907b84b030fc404a4333268a8a64bea7ad6c554ed2d2e8,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0,stETH,0.03774074597978083
37,18098790,20230910,0xb1c6d9bd1f077b1808907b84b030fc404a4333268a8a64bea7ad6c554ed2d2e8,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0,stETH,0.13685311813987086
38,18098832,20230910,0xbea7b0d921a1d7d8353e16e88b1a633b5a1c4c0d18d7f23fd7dec346cbbfcc90,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,1,stETH,1.0409247491559215
39,18098832,20230910,0xbea7b0d921a1d7d8353e16e88b1a633b5a1c4c0d18d7f23fd7dec346cbbfcc90,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0,stETH,0.0916350777024645
40,18098832,20230910,0xbea7b0d921a1d7d8353e16e88b1a633b5a1c4c0d18d7f23fd7dec346cbbfcc90,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,1,stETH,0.9488391631826906
41,18098832,20230910,0xbea7b0d921a1d7d8353e16e88b1a633b5a1c4c0d18d7f23fd7dec346cbbfcc90,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0,stETH,0.009935742019273228
42,18098832,20230910,0xbea7b0d921a1d7d8353e16e88b1a633b5a1c4c0d18d7f23fd7dec346cbbfcc90,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0,stETH,0.00839411685913203
43,18098832,20230910,0xbea7b0d921a1d7d8353e16e88b1a633b5a1c4c0d18d7f23fd7dec346cbbfcc90,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0,stETH,0.03771959636318002
